paper_id,title,abstract,year,authors,source_db,source_url,query
openalex:W1574901103,Foundations of statistical natural language processing,"Statistical approaches to processing natural language text have become dominant in recent years. This foundational text is the first comprehensive introduction to statistical natural language processing (NLP) to appear. The book contains all the theory and algorithms needed for building NLP tools. It provides broad but rigorous coverage of mathematical and linguistic foundations, as well as detailed discussion of statistical methods, allowing students and researchers to construct their own implementations. The book covers collocation finding, word sense disambiguation, probabilistic parsing, information retrieval, and other applications.",1999,Christopher D. Manning;Hinrich Schütze,OpenAlex,https://openalex.org/W1574901103,natural language processing
openalex:W2979826702,Transformers: State-of-the-Art Natural Language Processing,"Thomas Wolf, Lysandre Debut, Victor Sanh, Julien Chaumond, Clement Delangue, Anthony Moi, Pierric Cistac, Tim Rault, Remi Louf, Morgan Funtowicz, Joe Davison, Sam Shleifer, Patrick von Platen, Clara Ma, Yacine Jernite, Julien Plu, Canwen Xu, Teven Le Scao, Sylvain Gugger, Mariama Drame, Quentin Lhoest, Alexander Rush. Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing: System Demonstrations. 2020.",2020,Thomas Wolf;Lysandre Debut;Victor Sanh;Julien Chaumond;Clément Delangue;Anthony Moi;Pierric Cistac;Tim Rault;Rémi Louf;Morgan Funtowicz;Joe Davison;Sam Shleifer;Patrick von Platen;Clara Ma;Yacine Jernite;Julien Plu;Canwen Xu;Teven Le Scao;Sylvain Gugger;Mariama Drame;Quentin Lhoest;Alexander M. Rush,OpenAlex,https://openalex.org/W2979826702,natural language processing
openalex:W2123442489,The Stanford CoreNLP Natural Language Processing Toolkit,"Christopher Manning, Mihai Surdeanu, John Bauer, Jenny Finkel, Steven Bethard, David McClosky. Proceedings of 52nd Annual Meeting of the Association for Computational Linguistics: System Demonstrations. 2014.",2014,Christopher D. Manning;Mihai Surdeanu;John Bauer;Jenny Rose Finkel;Steven Bethard;David McClosky,OpenAlex,https://openalex.org/W2123442489,natural language processing
openalex:W2158899491,Natural Language Processing (almost) from Scratch,"We propose a unified neural network architecture and learning algorithm that can be applied to various natural language processing tasks including: part-of-speech tagging, chunking, named entity recognition, and semantic role labeling. This versatility is achieved by trying to avoid task-specific engineering and therefore disregarding a lot of prior knowledge. Instead of exploiting man-made input features carefully optimized for each task, our system learns internal representations on the basis of vast amounts of mostly unlabeled training data. This work is then used as a basis for building a freely available tagging system with good performance and minimal computational requirements.",2011,Ronan Collobert;Jason Weston;Léon Bottou;Michael Karlen;Koray Kavukcuoglu;Pavel P. Kuksa,OpenAlex,https://openalex.org/W2158899491,natural language processing
openalex:W2117130368,A unified architecture for natural language processing,"We describe a single convolutional neural network architecture that, given a sentence, outputs a host of language processing predictions: part-of-speech tags, chunks, named entity tags, semantic roles, semantically similar words and the likelihood that the sentence makes sense (grammatically and semantically) using a language model. The entire network is trained jointly on all these tasks using weight-sharing, an instance of multitask learning. All the tasks use labeled data except the language model which is learnt from unlabeled text and represents a novel form of semi-supervised learning for the shared tasks. We show how both multitask learning and semi-supervised learning improve the generalization of the shared tasks, resulting in state-of-the-art-performance.",2008,Ronan Collobert;Jason Weston,OpenAlex,https://openalex.org/W2117130368,natural language processing
openalex:W1521626219,Natural Language Processing with Python,"This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation. With it, you'll learn how to write Python programs that work with large collections of unstructured text. You'll access richly annotated datasets using a comprehensive range of linguistic data structures, and you'll understand the main algorithms for analyzing the content and structure of written communication. Packed with examples and exercises, Natural Language Processing with Python will help you: Extract information from unstructured text, either to guess the topic or identify named entities Analyze linguistic structure in text, including parsing and semantic analysis Access popular linguistic databases, including WordNet and treebanks Integrate techniques drawn from fields as diverse as linguistics and artificial intelligence This book will help you gain practical skills in natural language processing using the Python programming language and the Natural Language Toolkit (NLTK) open source library. If you're interested in developing web applications, analyzing multilingual news sources, or documenting endangered languages -- or if you're simply curious to have a programmer's perspective on how human language works -- you'll find Natural Language Processing with Python both fascinating and immensely useful.",2009,Steven Bird;Ewan Klein;Edward Loper,OpenAlex,https://openalex.org/W1521626219,natural language processing
openalex:W2096175520,A maximum entropy approach to natural language processing,"The concept of maximum entropy can be traced back along multiple threads to Biblical times. Only recently, however, have computers become powerful enough to permit the widescale application of this concept to real world problems in statistical estimation and pattern recognition. In this paper, we describe a method for statistical modeling based on maximum entropy. We present a maximum-likelihood approach for automatically constructing maximum entropy models and describe how to implement this approach efficiently, using as examples several problems in natural language processing.",1996,Adam Berger;Vincent J. Della Pietra;Stephen A. Della Pietra,OpenAlex,https://openalex.org/W2096175520,natural language processing
openalex:W2980282514,HuggingFace's Transformers: State-of-the-art Natural Language Processing,"Recent progress in natural language processing has been driven by advances in both model architecture and model pretraining. Transformer architectures have facilitated building higher-capacity models and pretraining has made it possible to effectively utilize this capacity for a wide variety of tasks. \textit{Transformers} is an open-source library with the goal of opening up these advances to the wider machine learning community. The library consists of carefully engineered state-of-the art Transformer architectures under a unified API. Backing this library is a curated collection of pretrained models made by and available for the community. \textit{Transformers} is designed to be extensible by researchers, simple for practitioners, and fast and robust in industrial deployments. The library is available at \url{https://github.com/huggingface/transformers}.",2019,"Thomas Wolf;Lysandre Debut;Victor Sanh;Julien Chaumond;Clément Delangue;Anthony Moi;Pierric Cistac;Tim Rault;Rémi Louf;Morgan Funtowicz;Jamie Brew;Shleifer, Sam;von Platen, Patrick;Ma, Clara;Jernite, Yacine;Plu, Julien;Xu, Canwen;Scao, Teven Le;Gugger, Sylvain;Drame, Mariama;Lhoest, Quentin;Rush, Alexander M.",OpenAlex,https://openalex.org/W2980282514,natural language processing
openalex:W1579838312,"Speech and Language Processing: An Introduction to Natural Language Processing, Computational Linguistics, and Speech Recognition","This book takes an empirical approach to language processing, based on applying statistical and other machine-learning algorithms to large corpora.Methodology boxes are included in each chapter. Each chapter is built around one or more worked examples to demonstrate the main idea of the chapter. Covers the fundamental algorithms of various fields, whether originally proposed for spoken or written language to demonstrate how the same algorithm can be used for speech recognition and word-sense disambiguation. Emphasis on web and other practical applications. Emphasis on scientific evaluation. Useful as a reference for professionals in any of the areas of speech and language processing.",2000,Daniel Jurafsky;James Martin,OpenAlex,https://openalex.org/W1579838312,natural language processing
openalex:W3185341429,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing","This article surveys and organizes research works in a new paradigm in natural language processing, which we dub “prompt-based learning.” Unlike traditional supervised learning, which trains a model to take in an input x and predict an output y as P ( y|x ), prompt-based learning is based on language models that model the probability of text directly. To use these models to perform prediction tasks, the original input x is modified using a template into a textual string prompt x′ that has some unfilled slots, and then the language model is used to probabilistically fill the unfilled information to obtain a final string x̂ , from which the final output y can be derived. This framework is powerful and attractive for a number of reasons: It allows the language model to be pre-trained on massive amounts of raw text, and by defining a new prompting function the model is able to perform few-shot or even zero-shot learning, adapting to new scenarios with few or no labeled data. In this article, we introduce the basics of this promising paradigm, describe a unified set of mathematical notations that can cover a wide variety of existing work, and organize existing work along several dimensions, e.g., the choice of pre-trained language models, prompts, and tuning strategies. To make the field more accessible to interested beginners, we not only make a systematic review of existing works and a highly structured typology of prompt-based concepts but also release other resources, e.g., a website NLPedia–Pretrain including constantly updated survey and paperlist.",2022,Pengfei Liu;Weizhe Yuan;Jinlan Fu;Zhengbao Jiang;Hiroaki Hayashi;Graham Neubig,OpenAlex,https://openalex.org/W3185341429,natural language processing
